Location,Number of Sick People,Date,,"All of this data is since May 1st and 'Date' is the day 
I recorded the new data", 
Wisconsin,1 to 10,June 18th,,,
Virginia,1 to 10,June 18th,,,
Texas,11 to 30,June 18th,,,
Tennessee,1 to 10,June 18th,,,
Pennsylvania,1 to 10,June 18th,,,
Ohio,1 to 10,June 18th,,,
North Carolina,1 to 10,June 18th,,,
New York,31 to 80,June 18th,,,
New Jersey,1 to 10,June 18th,,,
Massachusetts,1 to 10,June 18th,,,
Louisiana,1 to 10,June 18th,,,
Illinois,11 to 30,June 18th,,,
Georgia,1 to 10,June 18th,,,
Florida,1 to 10,June 18th,,,
Connecticut,1 to 10,June 18th,,,
Colorado,1 to 10,June 18th,,,
Alaska,1 to 10,June 18th,,,
Wyoming,1 to 10,July 21st,,,
Wisconsin,11 to 30,July 21st,,,
West Virginia,11 to 30,July 21st,,,
Washington,1 to 10,July 21st,,,
Virginia,31 to 80,July 21st,,,
Utah,1 to 10,July 21st,,,
Texas,81 to 160,July 21st,,,
Tennessee,31 to 80,July 21st,,,
Rhode Island,1 to 10,July 21st,,,
Pennsylvania,31 to 80,July 21st,,,
Oklahoma,31 to 80,July 21st,,,
Ohio,301 to 500,July 21st,,,
North Dakota,1 to 10,July 21st,,,
North Carolina,161 to 300,July 21st,,,
New York,161 to 300,July 21st,,,
New Jersey,31 to 80,July 21st,,,
New Hampshire,1 to 10,July 21st,,,
Nevada,1 to 10,July 21st,,,
Nebraska,31 to 80,July 21st,,,
Missouri,31 to 80,July 21st,,,
Mississippi,1 to 10,July 21st,,,
Minnesota,11 to 30,July 21st,,,
Michigan,901 to 2100,July 21st,,,
Massachusetts,11 to 30,July 21st,,,
Maryland,1 to 10,July 21st,,,
Louisiana,31 to 80,July 21st,,,
Kentucky,81 to 160,July 21st,,,
Kansas,31 to 80,July 21st,,,
Iowa,11 to 30,July 21st,,,
Indiana,161 to 300,July 21st,,,
Illinois,81 to 160,July 21st,,,
Idaho,1 to 10,July 21st,,,
